Bound,LBW,FTC 1,IWTC 1,FTC 2,IWTC 2,FTC 3,IWTC 3,FTC 4,IWTC 4,FTC 5,IWTC 5,FTC 6,IWTC 6
0 to 699,0,92,72,157,72,221,72,286,87,350,102,414,117
700 to 731,700,85,72,150,72,214,72,278,87,343,102,407,117
732 to 760,732,79,72,143,72,207,72,272,87,336,102,401,117
761 to 788,761,72,72,137,72,201,72,265,87,330,102,394,117
789 to 817,789,66,72,130,72,195,72,259,87,323,102,388,117
818 to 846,818,59,72,124,72,188,72,252,87,317,102,381,117
847 to 875,847,53,72,117,72,182,72,246,87,310,102,375,117
876 to 904,876,46,72,111,72,175,72,239,87,304,102,368,117
905 to 933,905,40,72,104,72,169,72,233,87,297,102,362,117
934 to 962,934,33,72,98,72,162,72,226,87,291,102,355,117
963 to 990,963,27,72,91,72,156,72,220,87,284,102,349,117
991 to 1019,991,20,72,85,72,149,72,214,87,278,102,342,117
1020 to 1048,1020,14,72,78,72,143,72,207,87,271,102,336,117
1049 to 1077,1049,7,72,72,72,136,72,201,87,265,102,329,117
1078 to 1106,1078,1,72,65,72,130,72,194,87,258,102,323,117
1107 to 1135,1107,0,67,59,72,123,72,188,87,252,102,316,117
1136 to 1163,1136,,60,52,72,117,72,181,87,246,102,310,117
1164 to 1192,1164,,54,46,72,110,72,175,87,239,102,303,117
1193 to 1221,1193,,47,39,72,104,72,168,87,233,102,297,117
1222 to 1250,1222,,41,33,72,97,72,162,87,226,102,290,117
1251 to 1279,1251,,34,26,72,91,72,155,87,220,102,284,117
1280 to 1308,1280,,28,20,72,84,72,149,87,213,102,277,117
1309 to 1337,1309,,21,13,72,78,72,142,87,207,102,271,117
1338 to 1365,1338,,15,7,72,71,72,136,87,200,102,265,117
1366 to 1394,1366,,8,0,72,65,72,129,87,194,102,258,117
1395 to 1423,1395,,2,0,66,58,72,123,87,187,102,252,117
1424 to 1452,1424,,0,0,60,52,72,116,87,181,102,245,117
1453 to 1481,1453,,,,53,45,72,110,87,174,102,239,117
1482 to 1510,1482,,,,47,39,72,103,87,168,102,232,117
1511 to 1538,1511,,,,40,32,72,97,87,161,102,226,117
1539 to 1567,1539,,,,34,26,72,90,87,155,102,219,117
1568 to 1596,1568,,,,27,19,72,84,87,148,102,213,117
1597 to 1625,1597,,,,21,13,72,77,87,142,102,206,117
1626 to 1654,1626,,,,14,6,72,71,87,135,102,200,117
1655 to 1683,1655,,,,8,0,72,64,87,129,102,193,117
1684 to 1712,1684,,,,1,0,66,58,87,122,102,187,117
1713 to 1740,1713,,,,,,59,51,87,116,102,180,117
1741 to 1769,1741,,,,,,53,45,87,109,102,174,117
1770 to 1798,1770,,,,,,46,38,87,103,102,167,117
1799 to 1827,1799,,,,,,40,32,87,96,102,161,117
1828 to 1856,1828,,,,,,33,25,87,90,102,154,117
1857 to 1885,1857,,,,,,27,19,87,83,102,148,117
1886 to 1913,1886,,,,,,20,12,87,77,102,141,117
1914 to 1942,1914,,,,,,14,6,87,70,102,135,117
1943 to 1971,1943,,,,,,7,0,87,64,102,128,117
1972 to 2000,1972,,,,,,1,0,80,57,102,122,117
2001 to 2029,2001,,,,,,,0,74,51,102,115,117
2030 to 2058,2030,,,,,,,0,67,44,102,109,117
2059 to 2087,2059,,,,,,,,61,38,102,102,117
2088 to 2115,2088,,,,,,,,54,31,102,96,117
2116 to 2144,2116,,,,,,,,48,25,102,89,117
2145 to 2173,2145,,,,,,,,41,18,102,83,117
2174 to 2202,2174,,,,,,,,35,12,102,76,117
2203 to 2231,2203,,,,,,,,28,5,102,70,117
2232 to 2260,2232,,,,,,,,22,0,101,63,117
2261 to 2288,2261,,,,,,,,15,0,95,57,117
2289 to 2317,2289,,,,,,,,9,0,88,50,117
